,id,title,journal,year,authors,kind,extra,auth
0,0,Almost exact risk budgeting with return forecasts for portfolio allocation,Operations Research Letters,2023,Avinash Bhardwaj and Manjesh Kumar Hanawal and Purushottam Parthasarathy,article,"@article {2843,
	title = {Almost exact risk budgeting with return forecasts for portfolio allocation},
	journal = {Operations Research Letters},
	volume = {51},
	year = {2023},
	pages = {171-175},
	doi = {https://doi.org/10.1016/j.orl.2023.02.002},
	author = {Avinash Bhardwaj and Manjesh Kumar Hanawal and Purushottam Parthasarathy}
}","['Avinash Bhardwaj', 'Manjesh Kumar Hanawal', 'Purushottam Parthasarathy']"
1,1,Approximate solutions to constrained risk-sensitive Markov decision processes,European Journal of Operational Research,2023,Uday M Kumar and Sanjay P Bhat and Veeraruna Kavitha and Nandyala Hemachandra,article,"@article {2846,
	title = {Approximate solutions to constrained risk-sensitive Markov decision processes},
	journal = {European Journal of Operational Research},
	volume = {310},
	year = {2023},
	pages = {249-267},
	doi = {https://doi.org/10.1016/j.ejor.2023.02.039},
	author = {Uday M Kumar and Sanjay P Bhat and Veeraruna Kavitha and Nandyala Hemachandra}
}","['Uday M Kumar', 'Sanjay P Bhat', 'Veeraruna Kavitha', 'Nandyala Hemachandra']"
2,2,"Dynamics of solar energy entrepreneurship in rural Bihar, India",Energy for Sustainable Development,2023,Rajat Mishra and Sayli Shiradkar and Kelsey Werner and Tresa Maria and Praveen Kumar and Jayendran Venkateswaran and Chetan S. Solanki,article,"@article {2869,
	title = {Dynamics of solar energy entrepreneurship in rural Bihar, India},
	journal = {Energy for Sustainable Development},
	volume = {76},
	year = {2023},
	month = {10/2023},
	pages = {101269},
	keywords = {Causal loop diagram, Community based system dynamics, Energy transition, Rural entrepreneurship, Solar lamps},
	issn = {0973-0826},
	doi = {https://doi.org/10.1016/j.esd.2023.101269},
	url = {https://www.sciencedirect.com/science/article/pii/S0973082623001266},
	author = {Rajat Mishra and Sayli Shiradkar and Kelsey Werner and Tresa Maria and Praveen Kumar and Jayendran Venkateswaran and Chetan S. Solanki}
}","['Rajat Mishra', 'Sayli Shiradkar', 'Kelsey Werner', 'Tresa Maria', 'Praveen Kumar', 'Jayendran Venkateswaran', 'Chetan S. Solanki']"
3,3,An OR Approach for WORdle,Informs Transactions on Education,2023,Simran Lakhani and Mustafa Vora and Ashutosh Mahajan,article,"@article {2831,
	title = {An OR Approach for WORdle},
	journal = {Informs Transactions on Education},
	year = {2023},
	month = {4/2023},
	doi = {https://doi.org/10.1287/ited.2023.0285},
	author = {Simran Lakhani and Mustafa Vora and Ashutosh Mahajan}
}","['Simran Lakhani', 'Mustafa Vora', 'Ashutosh Mahajan']"
4,4,Choice of Intraoperative Ultrasound adjuncts for Brain Tumor Surgery,BMC Med Inform Decis Mak,2022,Manoj Kumar and Santosh noronha and Narayan Rangaraj and Aliasgar Moiyadi and Prakash Shetty and Vikas kumar Singh,article,"@article {2643,
	title = {Choice of Intraoperative Ultrasound adjuncts for Brain Tumor Surgery},
	journal = {BMC Med Inform Decis Mak},
	volume = {22},
	year = {2022},
	month = {11/2022},
	type = {Research},
	doi = {https://doi.org/10.1186/s12911-022-02046-7},
	author = {Manoj Kumar and Santosh noronha and Narayan Rangaraj and Aliasgar Moiyadi and Prakash Shetty and Vikas kumar Singh}
}","['Manoj Kumar', 'Santosh noronha', 'Narayan Rangaraj', 'Aliasgar Moiyadi', 'Prakash Shetty', 'Vikas kumar Singh']"
5,5,Data-Driven treatment policies for Dialysis patients,International Conference on Operations Research - OR 2022,2022,"Manoj Kumar and Usulumarty, Deepa and Ravi, B and Billa, Viswanath and Narayan Rangaraj and Santosh noronha",article,"@article {2658,
	title = {Data-Driven treatment policies for Dialysis patients},
	journal = {International Conference on Operations Research - OR 2022},
	year = {2022},
	address = {Karlsruhe, Germany},
	author = {Manoj Kumar and Usulumarty, Deepa and Ravi, B and Billa, Viswanath and Narayan Rangaraj and Santosh noronha}
}","['Manoj Kumar', 'Usulumarty, Deepa', 'Ravi, B', 'Billa, Viswanath', 'Narayan Rangaraj', 'Santosh noronha']"
6,6,Evading Malware Analysis Using Reverse Execution,2022 14th International Conference on COMmunication Systems \& NETworkS (COMSNETS),2022,"Mishra, Adhokshaj and Roy, Animesh and Manjesh Kumar Hanawal",article,"@article {2655,
	title = {Evading Malware Analysis Using Reverse Execution},
	journal = {2022 14th International Conference on COMmunication Systems \& NETworkS (COMSNETS)},
	year = {2022},
	publisher = {IEEE},
	author = {Mishra, Adhokshaj and Roy, Animesh and Manjesh Kumar Hanawal}
}","['Mishra, Adhokshaj', 'Roy, Animesh', 'Manjesh Kumar Hanawal']"
7,7,Exact and heuristic approaches for the Railway crew scheduling,6th AIROYoung Workshop,2022,Akshat Bansal and Anoop K. P. and Narayan Rangaraj,article,"@article {2665,
	title = {Exact and heuristic approaches for the Railway crew scheduling},
	journal = {6th AIROYoung Workshop},
	year = {2022},
	address = {Rome, Italy},
	author = {Akshat Bansal and Anoop K. P. and Narayan Rangaraj}
}","['Akshat Bansal', 'Anoop K. P.', 'Narayan Rangaraj']"
8,8,Exploiting Side Information for Improved Online Learning Algorithms in Wireless Networks,arXiv-preprint,2022,Manjesh Kumar Hanawal and Sumit J. Darak,article,"@article {2653,
	title = {Exploiting Side Information for Improved Online Learning Algorithms in Wireless Networks},
	journal = {arXiv-preprint},
	year = {2022},
	author = {Manjesh Kumar Hanawal and Sumit J. Darak}
}","['Manjesh Kumar Hanawal', 'Sumit J. Darak']"
9,9,Multi-Agent Natural Actor-Critic Reinforcement Learning Algorithms,Dynamic Games and Applications,2022,Prashant Trivedi and Nandyala Hemachandra,article,"@article {2683,
	title = {Multi-Agent Natural Actor-Critic Reinforcement Learning Algorithms},
	journal = {Dynamic Games and Applications},
	year = {2022},
	month = {06/2022},
	doi = {https://doi.org/10.1007/s13235-022-00449-9},
	url = {https://link.springer.com/article/10.1007/s13235-022-00449-9},
	author = {Prashant Trivedi and Nandyala Hemachandra}
}","['Prashant Trivedi', 'Nandyala Hemachandra']"
10,10,Multi-modal supply chain distribution problem,OPSEARCH,2022,Hussain A. Kharodawala and Ashutosh Mahajan and Jayan Moorkanat,article,"@article {2868,
	title = {Multi-modal supply chain distribution problem},
	journal = {OPSEARCH},
	volume = {59},
	year = {2022},
	pages = {747-768},
	author = {Hussain A. Kharodawala and Ashutosh Mahajan and Jayan Moorkanat}
}","['Hussain A. Kharodawala', 'Ashutosh Mahajan', 'Jayan Moorkanat']"
11,11,Multi-player age-of-information bandits: A trekking approach,2022 14th International Conference on COMmunication Systems \& NETworkS (COMSNETS),2022,"Gudwani, Hitesh and Manjesh Kumar Hanawal and Sharayu Moharir",article,"@article {2651,
	title = {Multi-player age-of-information bandits: A trekking approach},
	journal = {2022 14th International Conference on COMmunication Systems \& NETworkS (COMSNETS)},
	year = {2022},
	publisher = {IEEE},
	author = {Gudwani, Hitesh and Manjesh Kumar Hanawal and Sharayu Moharir}
}","['Gudwani, Hitesh', 'Manjesh Kumar Hanawal', 'Sharayu Moharir']"
12,12,Optimizing large scale upgradations involving movable assets,OPSEARCH,2022,Swapnesh Subramanian and Narayan Rangaraj,article,"@article {2604,
	title = {Optimizing large scale upgradations involving movable assets},
	journal = {OPSEARCH},
	year = {2022},
	pages = {1-15},
	author = {Swapnesh Subramanian and Narayan Rangaraj}
}","['Swapnesh Subramanian', 'Narayan Rangaraj']"
13,13,Railway crew scheduling: A case study of Indian Railways,32nd European Conference on Operational Research (EURO 2022),2022,Akshat Bansal and Anoop K. P. and Narayan Rangaraj,article,"@article {2666,
	title = {Railway crew scheduling: A case study of Indian Railways},
	journal = {32nd European Conference on Operational Research (EURO 2022)},
	year = {2022},
	address = {Espoo, Finland},
	author = {Akshat Bansal and Anoop K. P. and Narayan Rangaraj}
}","['Akshat Bansal', 'Anoop K. P.', 'Narayan Rangaraj']"
14,14,A unified citywide dashboard for allocation and scheduling dialysis for COVID-19 patients on maintenance hemodialysis,Indian Journal of Nephrology,2022,"Billa, Viswanath and Santosh noronha and Shrirang Bichu and Kothari, Jatin and rajesh Kumar and Kalpana Mehta and Tukaram Jamale and Nikhil Bhasin and Sayali Thakare and Smriti Sinha and Geeta Sheth and Narayan Rangaraj",article,"@article {2667,
	title = {A unified citywide dashboard for allocation and scheduling dialysis for COVID-19 patients on maintenance hemodialysis},
	journal = {Indian Journal of Nephrology},
	year = {2022},
	url = { https://www.indianjnephrol.org/preprintarticle.asp?id=334844},
	author = {Billa, Viswanath and Santosh noronha and Shrirang Bichu and Kothari, Jatin and rajesh Kumar and Kalpana Mehta and Tukaram Jamale and Nikhil Bhasin and Sayali Thakare and Smriti Sinha and Geeta Sheth and Narayan Rangaraj}
}","['Billa, Viswanath', 'Santosh noronha', 'Shrirang Bichu', 'Kothari, Jatin', 'rajesh Kumar', 'Kalpana Mehta', 'Tukaram Jamale', 'Nikhil Bhasin', 'Sayali Thakare', 'Smriti Sinha', 'Geeta Sheth', 'Narayan Rangaraj']"
15,15,Analysis Of Multi-registry Kidney Exchange Programs With Individual Rationality Constraints,INFORMS Healthcare Conference 2021,2021,"Verma, Utkarsh and Narayan Rangaraj",article,"@article {2474,
	title = {Analysis Of Multi-registry Kidney Exchange Programs With Individual Rationality Constraints},
	journal = {INFORMS Healthcare Conference 2021},
	year = {2021},
	address = {Indianapolis, US. (Virtual)},
	author = {Verma, Utkarsh and Narayan Rangaraj}
}","['Verma, Utkarsh', 'Narayan Rangaraj']"
16,16,Censored Semi-Bandits for Resource Allocation,arXiv-preprint,2021,"Verma, Arun and Manjesh Kumar Hanawal and Arun Rajkumar and Raman Sankaran",article,"@article {2645,
	title = {Censored Semi-Bandits for Resource Allocation},
	journal = {arXiv-preprint},
	year = {2021},
	author = {Verma, Arun and Manjesh Kumar Hanawal and Arun Rajkumar and Raman Sankaran}
}","['Verma, Arun', 'Manjesh Kumar Hanawal', 'Arun Rajkumar', 'Raman Sankaran']"
17,17,Coalition formation resource sharing games in networks,Performance Evaluation,2021,Shiksha Singhal and Veeraruna Kavitha,article,"@article {2624,
	title = {Coalition formation resource sharing games in networks},
	journal = {Performance Evaluation},
	volume = {152},
	year = {2021},
	month = {12/2021},
	author = {Shiksha Singhal and Veeraruna Kavitha}
}","['Shiksha Singhal', 'Veeraruna Kavitha']"
18,18,Continuous Time Bandits With Sampling Costs,arXiv-preprint,2021,"Vaze, Rahul and Manjesh Kumar Hanawal",article,"@article {2641,
	title = {Continuous Time Bandits With Sampling Costs},
	journal = {arXiv-preprint},
	year = {2021},
	author = {Vaze, Rahul and Manjesh Kumar Hanawal}
}","['Vaze, Rahul', 'Manjesh Kumar Hanawal']"
19,19,Co-Virality of Competing Content over OSNs?,IFIP Networking 2021,2021,"Agarwal, Khushboo and Veeraruna Kavitha",article,"@article {2445,
	title = {Co-Virality of Competing Content over OSNs?},
	journal = {IFIP Networking 2021},
	year = {2021},
	author = {Agarwal, Khushboo and Veeraruna Kavitha}
}","['Agarwal, Khushboo', 'Veeraruna Kavitha']"
20,20,Discrete Richman-bidding scoring games,International Journal of Game Theory,2021,"Ravi Kant Rai and Larsson, Urban and Patel, Neel",article,"@article {2388,
	title = {Discrete Richman-bidding scoring games},
	journal = {International Journal of Game Theory},
	year = {2021},
	month = {2021/01/12},
	isbn = {1432-1270},
	url = {https://doi.org/10.1007/s00182-020-00753-x},
	author = {Ravi Kant Rai and Larsson, Urban and Patel, Neel}
}","['Ravi Kant Rai', 'Larsson, Urban', 'Patel, Neel']"
21,21,Extremality of Prime Factorization,Resonance,2021,K. S. Mallikarjuna Rao,article,"@article {2622,
	title = {Extremality of Prime Factorization},
	journal = {Resonance},
	volume = {26},
	year = {2021},
	month = {12/2021},
	pages = {1643-1648},
	author = {K. S. Mallikarjuna Rao}
}",['K. S. Mallikarjuna Rao']
